filter,SurrogateKey,TenantID,pkBookingID,fkUserID,fkLocationID,dateAdded,trackDate,fkHostID,noShow,BookingSource,deleteBooking,RealStartDateTimeUTC,RealEndDateTimeUTC,bookingRealStartTime,bookingRealEndTime,cleanDownPeriod,cleanDownUnit,PipelineExecutionDate
134,2782,condeco777,134,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
135,2842,condeco777,135,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
136,2902,condeco777,136,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
137,2962,condeco777,137,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
138,3022,condeco777,138,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
139,3082,condeco777,139,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
140,3142,condeco777,140,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
141,3202,condeco777,141,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
142,3262,condeco777,142,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
143,3322,condeco777,143,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
144,3382,condeco777,144,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
145,3442,condeco777,145,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
146,3502,condeco777,146,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
147,3562,condeco777,147,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
148,3622,condeco777,148,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
149,3682,condeco777,149,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
150,3742,condeco777,150,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
151,3802,condeco777,151,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
152,3862,condeco777,152,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
153,3922,condeco777,153,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
154,3982,condeco777,154,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
155,4042,condeco777,155,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
156,4102,condeco777,156,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
157,4162,condeco777,157,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
158,4222,condeco777,158,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
159,4282,condeco777,159,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
160,4342,condeco777,160,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
161,4402,condeco777,161,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
162,4462,condeco777,162,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
163,4522,condeco777,163,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
164,4582,condeco777,164,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
165,4642,condeco777,165,31,10,2023-04-13 20:17:51,None,None,None,None,0,None,None,None,None,0,0,2024-02-06
